checking_account_status,duration_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,target,default_risk,risk_label
0-200 DM,12,Existing credits paid back duly,New car,1295,< 100 DM,< 1 year,3,A92,A101,1,Car or other,25,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,48,Existing credits paid back duly,Business,4308,< 100 DM,< 1 year,3,A92,A101,4,Savings/life insurance,24,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,1567,< 100 DM,1-4 years,1,A92,A101,1,Car or other,22,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,24,Critical account / other credits,New car,1199,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,60,A143,Own,2,Unskilled resident,1,A191,A201,2,1,Bad Credit
< 0 DM,15,Existing credits paid back duly,New car,1403,< 100 DM,1-4 years,2,A92,A101,4,Car or other,28,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Radio/television,1282,100-500 DM,1-4 years,4,A92,A101,2,Car or other,32,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Radio/television,2424,Unknown / no savings,>= 7 years,4,A93,A101,4,Savings/life insurance,53,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,30,No credits / paid back duly,Business,8072,Unknown / no savings,< 1 year,2,A93,A101,3,Car or other,25,A141,Own,3,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Used car,12579,< 100 DM,>= 7 years,4,A92,A101,2,Unknown / no property,44,A143,Free,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Radio/television,3430,500-1000 DM,>= 7 years,3,A93,A101,2,Car or other,31,A143,Own,1,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,9,Critical account / other credits,New car,2134,< 100 DM,1-4 years,4,A93,A101,4,Car or other,48,A143,Own,3,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,6,Existing credits paid back duly,Radio/television,2647,500-1000 DM,1-4 years,2,A93,A101,3,Real estate,44,A143,Rent,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,10,Critical account / other credits,New car,2241,< 100 DM,< 1 year,1,A93,A101,3,Real estate,48,A143,Rent,2,Unskilled resident,2,A191,A202,1,0,Good Credit
0-200 DM,12,Critical account / other credits,Used car,1804,100-500 DM,< 1 year,3,A93,A101,4,Savings/life insurance,44,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,10,Critical account / other credits,Furniture/equipment,2069,Unknown / no savings,1-4 years,2,A94,A101,1,Car or other,26,A143,Own,2,Skilled employee,1,A191,A202,1,0,Good Credit
< 0 DM,6,Existing credits paid back duly,Furniture/equipment,1374,< 100 DM,1-4 years,1,A93,A101,2,Real estate,36,A141,Own,1,Unskilled resident,1,A192,A201,1,0,Good Credit
No checking account,6,No credits / paid back duly,Radio/television,426,< 100 DM,>= 7 years,4,A94,A101,4,Car or other,39,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
>= 200 DM,12,All credits at this bank paid back,Radio/television,409,>= 1000 DM,1-4 years,3,A92,A101,3,Real estate,42,A143,Rent,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,7,Existing credits paid back duly,Radio/television,2415,< 100 DM,1-4 years,3,A93,A103,2,Real estate,34,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,60,Delay in past payments,Business,6836,< 100 DM,>= 7 years,3,A93,A101,4,Unknown / no property,63,A143,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,18,Existing credits paid back duly,Business,1913,>= 1000 DM,< 1 year,3,A94,A101,3,Real estate,36,A141,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,4020,< 100 DM,1-4 years,2,A93,A101,2,Car or other,27,A142,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,New car,5866,100-500 DM,1-4 years,2,A93,A101,2,Car or other,30,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Business,1264,Unknown / no savings,>= 7 years,4,A93,A101,4,Unknown / no property,57,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
>= 200 DM,12,Existing credits paid back duly,Furniture/equipment,1474,< 100 DM,< 1 year,4,A92,A101,1,Savings/life insurance,33,A141,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,45,Critical account / other credits,Radio/television,4746,< 100 DM,< 1 year,4,A93,A101,2,Savings/life insurance,25,A143,Own,2,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,48,Critical account / other credits,Education,6110,< 100 DM,1-4 years,1,A93,A101,3,Unknown / no property,31,A141,Free,1,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,18,Existing credits paid back duly,Radio/television,2100,< 100 DM,1-4 years,4,A93,A102,2,Real estate,37,A142,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
>= 200 DM,10,Existing credits paid back duly,Domestic appliances,1225,< 100 DM,1-4 years,2,A93,A101,2,Car or other,37,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,Radio/television,458,< 100 DM,1-4 years,4,A93,A101,3,Real estate,24,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,30,Existing credits paid back duly,Radio/television,2333,500-1000 DM,>= 7 years,4,A93,A101,2,Car or other,30,A141,Own,1,Management / self-employed,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,1158,500-1000 DM,1-4 years,3,A91,A101,1,Car or other,26,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,18,Delay in past payments,Repairs,6204,< 100 DM,1-4 years,2,A93,A101,4,Real estate,44,A143,Own,1,Unskilled resident,2,A192,A201,1,0,Good Credit
< 0 DM,30,Critical account / other credits,Used car,6187,100-500 DM,4-7 years,1,A94,A101,4,Car or other,24,A143,Rent,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,48,Critical account / other credits,Used car,6143,< 100 DM,>= 7 years,4,A92,A101,4,Unknown / no property,58,A142,Free,2,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,11,Critical account / other credits,New car,1393,< 100 DM,< 1 year,4,A92,A101,4,Car or other,35,A143,Own,2,Management / self-employed,1,A191,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,Radio/television,2299,500-1000 DM,>= 7 years,4,A93,A101,4,Car or other,39,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,6,Existing credits paid back duly,Used car,1352,500-1000 DM,Unemployed,1,A92,A101,2,Savings/life insurance,23,A143,Rent,1,Unemployed / unskilled non-resident,1,A192,A201,1,0,Good Credit
No checking account,11,Critical account / other credits,New car,7228,< 100 DM,1-4 years,1,A93,A101,4,Savings/life insurance,39,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,2073,100-500 DM,1-4 years,4,A92,A102,2,Real estate,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,24,Delay in past payments,Furniture/equipment,2333,Unknown / no savings,< 1 year,4,A93,A101,2,Savings/life insurance,29,A141,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,27,Delay in past payments,Used car,5965,< 100 DM,>= 7 years,1,A93,A101,2,Car or other,30,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,1262,< 100 DM,1-4 years,3,A93,A101,2,Car or other,25,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Used car,3378,Unknown / no savings,1-4 years,2,A93,A101,1,Savings/life insurance,31,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,36,Delay in past payments,New car,2225,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,57,A141,Free,2,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,6,All credits at this bank paid back,New car,783,Unknown / no savings,1-4 years,1,A93,A103,2,Real estate,26,A142,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,6468,Unknown / no savings,Unemployed,2,A93,A101,1,Unknown / no property,52,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,36,Critical account / other credits,Radio/television,9566,< 100 DM,1-4 years,2,A92,A101,2,Car or other,31,A142,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,18,Existing credits paid back duly,New car,1961,< 100 DM,>= 7 years,3,A92,A101,2,Car or other,23,A143,Own,1,Management / self-employed,1,A191,A201,1,0,Good Credit
< 0 DM,36,Critical account / other credits,Furniture/equipment,6229,< 100 DM,< 1 year,4,A92,A102,4,Unknown / no property,23,A143,Rent,2,Unskilled resident,1,A192,A201,2,1,Bad Credit
0-200 DM,9,Existing credits paid back duly,Business,1391,< 100 DM,1-4 years,2,A94,A101,1,Real estate,27,A141,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,15,Critical account / other credits,Radio/television,1537,Unknown / no savings,>= 7 years,4,A93,A103,4,Real estate,50,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,36,No credits / paid back duly,Business,1953,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,61,A143,Free,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
0-200 DM,48,No credits / paid back duly,Business,14421,< 100 DM,1-4 years,2,A93,A101,2,Car or other,25,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Radio/television,3181,< 100 DM,< 1 year,4,A92,A101,4,Savings/life insurance,26,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,27,Existing credits paid back duly,Repairs,5190,Unknown / no savings,>= 7 years,4,A93,A101,4,Savings/life insurance,48,A143,Own,4,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,2171,< 100 DM,< 1 year,2,A92,A101,2,Car or other,29,A141,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,New car,1007,>= 1000 DM,1-4 years,4,A94,A101,1,Real estate,22,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,Education,1819,< 100 DM,1-4 years,4,A93,A101,4,Unknown / no property,37,A142,Free,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,36,Existing credits paid back duly,Radio/television,2394,Unknown / no savings,1-4 years,4,A92,A101,4,Car or other,25,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,Used car,8133,< 100 DM,1-4 years,1,A92,A101,2,Savings/life insurance,30,A141,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,7,Critical account / other credits,Radio/television,730,Unknown / no savings,>= 7 years,4,A93,A101,2,Savings/life insurance,46,A143,Rent,2,Unskilled resident,1,A192,A201,1,0,Good Credit
< 0 DM,8,Critical account / other credits,Other,1164,< 100 DM,>= 7 years,3,A93,A101,4,Unknown / no property,51,A141,Free,2,Management / self-employed,2,A192,A201,1,0,Good Credit
0-200 DM,42,Critical account / other credits,Business,5954,< 100 DM,4-7 years,2,A92,A101,1,Real estate,41,A141,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Education,1977,Unknown / no savings,>= 7 years,4,A93,A101,4,Unknown / no property,40,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,12,Critical account / other credits,Used car,1526,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,66,A143,Free,2,Management / self-employed,1,A191,A201,1,0,Good Credit
< 0 DM,42,Existing credits paid back duly,Radio/television,3965,< 100 DM,< 1 year,4,A93,A101,3,Car or other,34,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,11,Delay in past payments,Radio/television,4771,< 100 DM,4-7 years,2,A93,A101,4,Savings/life insurance,51,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,54,No credits / paid back duly,Used car,9436,Unknown / no savings,1-4 years,2,A93,A101,2,Savings/life insurance,39,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
0-200 DM,30,Existing credits paid back duly,Furniture/equipment,3832,< 100 DM,< 1 year,2,A94,A101,1,Savings/life insurance,22,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,5943,Unknown / no savings,< 1 year,1,A92,A101,1,Car or other,44,A143,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,15,Existing credits paid back duly,Radio/television,1213,500-1000 DM,>= 7 years,4,A93,A101,3,Savings/life insurance,47,A142,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Business,1568,100-500 DM,1-4 years,3,A92,A101,4,Savings/life insurance,24,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Other,1755,< 100 DM,>= 7 years,4,A92,A103,4,Real estate,58,A143,Own,1,Unskilled resident,1,A192,A201,1,0,Good Credit
< 0 DM,10,Existing credits paid back duly,Radio/television,2315,< 100 DM,>= 7 years,3,A93,A101,4,Real estate,52,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Business,1412,< 100 DM,1-4 years,4,A92,A103,2,Real estate,29,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,Furniture/equipment,1295,< 100 DM,< 1 year,4,A92,A101,1,Savings/life insurance,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Education,12612,100-500 DM,1-4 years,1,A93,A101,4,Unknown / no property,47,A143,Free,1,Skilled employee,2,A192,A201,2,1,Bad Credit
< 0 DM,18,Existing credits paid back duly,New car,2249,100-500 DM,4-7 years,4,A93,A101,3,Car or other,30,A143,Own,1,Management / self-employed,2,A192,A201,1,0,Good Credit
< 0 DM,12,No credits / paid back duly,Repairs,1108,< 100 DM,4-7 years,4,A93,A101,3,Real estate,28,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,Radio/television,618,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,56,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Critical account / other credits,Used car,1409,< 100 DM,>= 7 years,4,A93,A101,3,Real estate,54,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Radio/television,797,Unknown / no savings,>= 7 years,4,A92,A101,3,Savings/life insurance,33,A141,Own,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
>= 200 DM,24,Critical account / other credits,Furniture/equipment,3617,Unknown / no savings,>= 7 years,4,A93,A102,4,Unknown / no property,20,A143,Rent,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,New car,1318,>= 1000 DM,>= 7 years,4,A93,A101,4,Real estate,54,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,54,No credits / paid back duly,Business,15945,< 100 DM,< 1 year,3,A93,A101,4,Unknown / no property,58,A143,Rent,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,Education,2012,Unknown / no savings,4-7 years,4,A92,A101,2,Car or other,61,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Business,2622,100-500 DM,1-4 years,4,A93,A101,4,Car or other,34,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,36,Critical account / other credits,Radio/television,2337,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,36,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,20,Delay in past payments,Used car,7057,Unknown / no savings,4-7 years,3,A93,A101,4,Savings/life insurance,36,A141,Rent,2,Management / self-employed,2,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,New car,1469,100-500 DM,>= 7 years,4,A94,A101,4,Real estate,41,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Radio/television,2323,< 100 DM,4-7 years,4,A93,A101,4,Car or other,24,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,Delay in past payments,Radio/television,932,< 100 DM,1-4 years,3,A92,A101,2,Real estate,24,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,9,Critical account / other credits,Furniture/equipment,1919,< 100 DM,4-7 years,4,A93,A101,3,Car or other,35,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Used car,2445,Unknown / no savings,< 1 year,2,A94,A101,4,Car or other,26,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,24,Critical account / other credits,Other,11938,< 100 DM,1-4 years,2,A93,A102,3,Car or other,39,A143,Own,2,Management / self-employed,2,A192,A201,2,1,Bad Credit
No checking account,18,All credits at this bank paid back,New car,6458,< 100 DM,>= 7 years,2,A93,A101,4,Unknown / no property,39,A141,Own,2,Management / self-employed,2,A192,A201,2,1,Bad Credit
0-200 DM,12,Existing credits paid back duly,New car,6078,< 100 DM,4-7 years,2,A93,A101,2,Car or other,32,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,7721,Unknown / no savings,< 1 year,1,A92,A101,2,Savings/life insurance,30,A143,Own,1,Skilled employee,1,A192,A202,1,0,Good Credit
0-200 DM,14,Existing credits paid back duly,Business,1410,500-1000 DM,>= 7 years,1,A94,A101,2,Real estate,35,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,6,Delay in past payments,Business,1449,100-500 DM,>= 7 years,1,A91,A101,2,Car or other,31,A141,Own,2,Skilled employee,2,A191,A201,1,0,Good Credit
>= 200 DM,15,Existing credits paid back duly,Education,392,< 100 DM,< 1 year,4,A92,A101,4,Savings/life insurance,23,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,New car,6260,< 100 DM,4-7 years,3,A93,A101,3,Real estate,28,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,36,Critical account / other credits,New car,7855,< 100 DM,1-4 years,4,A92,A101,2,Real estate,25,A142,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,Radio/television,1680,500-1000 DM,>= 7 years,3,A94,A101,1,Real estate,35,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,48,Critical account / other credits,Radio/television,3578,Unknown / no savings,>= 7 years,4,A93,A101,1,Real estate,47,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,42,Existing credits paid back duly,Radio/television,7174,Unknown / no savings,4-7 years,4,A92,A101,3,Car or other,30,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,10,Critical account / other credits,Furniture/equipment,2132,Unknown / no savings,< 1 year,2,A92,A102,3,Real estate,27,A143,Rent,2,Skilled employee,1,A191,A202,1,0,Good Credit
< 0 DM,33,Critical account / other credits,Furniture/equipment,4281,500-1000 DM,1-4 years,1,A92,A101,4,Car or other,23,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,12,Critical account / other credits,New car,2366,500-1000 DM,4-7 years,3,A91,A101,3,Car or other,36,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,21,Existing credits paid back duly,Radio/television,1835,< 100 DM,1-4 years,3,A92,A101,2,Real estate,25,A143,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Used car,3868,< 100 DM,>= 7 years,4,A92,A101,2,Car or other,41,A143,Rent,2,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Furniture/equipment,1768,< 100 DM,1-4 years,3,A93,A101,2,Real estate,24,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
>= 200 DM,10,Critical account / other credits,New car,781,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,63,A143,Free,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Furniture/equipment,1924,Unknown / no savings,< 1 year,4,A92,A101,3,Real estate,27,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,12,Critical account / other credits,New car,2121,< 100 DM,1-4 years,4,A93,A101,2,Savings/life insurance,30,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Radio/television,701,< 100 DM,1-4 years,4,A94,A101,2,Real estate,40,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Repairs,639,< 100 DM,1-4 years,4,A93,A101,2,Car or other,30,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,12,Critical account / other credits,Used car,1860,< 100 DM,Unemployed,4,A93,A101,2,Car or other,34,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,12,Critical account / other credits,New car,3499,< 100 DM,1-4 years,3,A92,A102,2,Real estate,29,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,48,Existing credits paid back duly,New car,8487,Unknown / no savings,4-7 years,1,A92,A101,2,Car or other,24,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,36,Delay in past payments,Education,6887,< 100 DM,1-4 years,4,A93,A101,3,Savings/life insurance,29,A142,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,15,Existing credits paid back duly,Furniture/equipment,2708,< 100 DM,< 1 year,2,A93,A101,3,Savings/life insurance,27,A141,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Furniture/equipment,1984,< 100 DM,1-4 years,4,A93,A101,4,Unknown / no property,47,A141,Free,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,60,Existing credits paid back duly,Radio/television,10144,100-500 DM,4-7 years,2,A92,A101,4,Real estate,21,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Radio/television,1240,Unknown / no savings,>= 7 years,4,A92,A101,2,Real estate,38,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,27,Delay in past payments,Used car,8613,>= 1000 DM,1-4 years,2,A93,A101,2,Car or other,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,766,500-1000 DM,1-4 years,4,A93,A101,3,Real estate,66,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
0-200 DM,15,Critical account / other credits,Radio/television,2728,Unknown / no savings,4-7 years,4,A93,A103,2,Real estate,35,A141,Own,3,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,12,Existing credits paid back duly,Radio/television,1881,< 100 DM,1-4 years,2,A92,A101,2,Car or other,44,A143,Rent,1,Unskilled resident,1,A192,A201,1,0,Good Credit
>= 200 DM,6,Existing credits paid back duly,New car,709,>= 1000 DM,< 1 year,2,A94,A101,2,Real estate,27,A143,Own,1,Unemployed / unskilled non-resident,1,A191,A202,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Radio/television,4795,< 100 DM,< 1 year,4,A92,A101,1,Unknown / no property,30,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,27,Existing credits paid back duly,Radio/television,3416,< 100 DM,1-4 years,3,A93,A101,2,Car or other,27,A143,Own,1,Management / self-employed,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Furniture/equipment,2462,< 100 DM,1-4 years,2,A93,A101,2,Car or other,22,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,21,Critical account / other credits,Furniture/equipment,2288,< 100 DM,< 1 year,4,A92,A101,4,Savings/life insurance,23,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,48,All credits at this bank paid back,Business,3566,100-500 DM,4-7 years,4,A93,A101,2,Car or other,30,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,6,Critical account / other credits,New car,860,< 100 DM,>= 7 years,1,A92,A101,4,Unknown / no property,39,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,New car,682,100-500 DM,4-7 years,4,A92,A101,3,Car or other,51,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
